"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"745",2,2,0,2,5,3,1
"746",1,2,0,2,4,3,1
"747",0,0,1,2,1,5,1
"748",0,1,0,2,2,0,1
"749",0,0,1,2,1,3,0
"750",0,0,0,2,1,0,1
"751",1,1,0,2,3,3,0
"752",2,2,1,2,6,1,0
"753",2,0,2,2,3,1,1
"754",0,1,0,2,2,3,0
"755",1,0,2,2,2,1,0
"756",0,0,0,2,1,3,0
"757",1,2,1,2,5,1,0
"758",0,1,0,2,2,1,1
"759",0,0,2,2,1,1,1
"760",1,2,1,2,4,1,1
"761",1,1,1,2,3,1,0
"762",0,0,0,2,1,1,1
"763",3,2,2,2,7,0,0
"764",3,2,2,2,6,0,0
"765",3,2,0,2,6,0,1
"766",1,0,1,2,2,1,0
"767",2,2,0,2,5,0,1
"768",0,0,1,2,1,1,1
"769",2,2,2,2,5,0,1
"770",2,1,0,2,4,0,1
"771",1,2,2,2,4,0,0
"772",1,2,1,2,4,0,1
"773",1,1,2,2,3,0,0
"774",0,2,1,2,3,0,1
"775",1,1,0,2,3,0,1
"776",0,1,1,2,2,0,0
"777",0,1,2,2,2,0,0
"778",1,0,0,2,2,0,1
"779",0,0,1,2,1,0,0
"780",0,0,0,2,1,0,1
"781",0,0,2,2,1,0,1
"782",1,2,0,2,4,0,1
"783",2,2,1,2,5,3,1
"784",1,2,2,2,4,0,0
"785",1,2,1,2,4,3,1
"786",1,1,2,2,3,0,1
"787",0,2,0,2,3,0,1
"788",0,1,2,2,2,0,1
"789",0,1,0,2,2,0,0
"790",1,1,1,2,3,3,1
"791",0,0,0,2,1,0,1
"792",0,0,2,2,1,0,1
"793",1,0,1,2,2,3,0
"794",0,2,1,2,3,0,0
"795",0,0,1,2,1,3,0
"796",0,2,2,1,3,3,1
"797",0,1,2,1,2,3,1
"798",0,1,1,2,2,0,0
"799",1,1,0,2,3,2,1
"800",0,0,2,1,1,3,0
